"","firm","culture","tenure","employments","sim_no","var_win","cond"
"339",12,0.566346232481079,6.67802167528796,1,1,0.1,1
"340",12,0.430177621218776,100.665651868375,2,1,0.1,1
"341",12,0.476629736582764,29.1650786293737,1,1,0.1,1
"342",12,0.416723223558302,21.4963966886844,1,1,0.1,1
"343",12,0.407005932765037,2.13150094134481,2,1,0.1,1
"344",12,0.440392714374804,24.6042629366955,1,1,0.1,1
"345",12,0.491949087109958,7.12008286106042,2,1,0.1,1
"346",12,0.510692246746317,22.8149861760826,2,1,0.1,1
"347",12,0.501127904073734,13.1228144158057,2,1,0.1,1
"348",12,0.648086615157841,5.81501103700948,1,1,0.1,1
"349",12,0.463781070544475,9.84804899470086,1,1,0.1,1
"350",12,0.521531770668038,17.9756825858083,1,1,0.1,1
"351",12,0.365525895709466,9.55644155119189,1,1,0.1,1
"352",12,0.379170627620931,10.2927151690099,2,1,0.1,1
"353",12,0.609509541505369,11.3407914589129,2,1,0.1,1
"354",12,0.423372738207334,15.9973533861706,2,1,0.1,1
"355",12,0.443533622870528,8.09874369684684,1,1,0.1,1
"356",12,0.469494316588873,9.98067459551485,1,1,0.1,1
"357",12,0.378822999010676,17.2419156081364,1,1,0.1,1
"358",12,0.629790743058765,12.4934431937441,4,1,0.1,1
"359",12,0.539343230890056,92.4844779447044,1,1,0.1,1
"360",12,0.427949290339892,3.28290646760217,2,1,0.1,1
"361",13,-0.512340456182882,29.9729515903059,2,1,0.1,1
"362",13,-0.478346999959819,12.3727519257227,1,1,0.1,1
"363",13,-0.432190922653543,15.1475975556805,1,1,0.1,1
"364",13,-0.556378429071526,43.1153841079151,1,1,0.1,1
"365",13,-0.512950990042622,6.30228351490953,2,1,0.1,1
"366",13,-0.444342047900126,1.48596410325351,2,1,0.1,1
"367",13,-0.635488519596119,4.18387099829933,1,1,0.1,1
"368",13,-0.470884192745295,18.381727881872,1,1,0.1,1
"369",13,-0.453953843036017,7.89784307313545,1,1,0.1,1
"370",13,-0.450009295987722,18.337843163279,1,1,0.1,1
"371",13,-0.28502980354069,58.3841862931373,1,1,0.1,1
"372",13,-0.683906118830204,21.8587127615599,2,1,0.1,1
"373",13,-0.565943570643075,5.89057397994602,1,1,0.1,1
"374",13,-0.322359667212531,14.7970230027507,1,1,0.1,1
"375",13,-0.560250311942008,3.01428316136463,1,1,0.1,1
"376",13,-0.546948408051666,89.5227762709593,1,1,0.1,1
"377",13,-0.490300600142872,10.2563541193921,1,1,0.1,1
"378",13,-0.485627874619512,21.7821558161209,1,1,0.1,1
"379",13,-0.314638191515034,5.801056759973,2,1,0.1,1
"380",13,-0.393720855735026,10.7670433487118,1,1,0.1,1
"381",13,-0.389270000407577,4.90765669808967,1,1,0.1,1
"382",13,-0.4354798074423,12.6656336796608,1,1,0.1,1
"383",13,-0.611420324436521,117.842308943728,1,1,0.1,1
"384",13,-0.485560621976074,4.05600076061349,1,1,0.1,1
"385",13,-0.634165509331432,25.9089900814444,1,1,0.1,1
"386",13,-0.491314983597938,10.2731919613574,2,1,0.1,1
"387",13,-0.662852514022458,7.10228931344954,1,1,0.1,1
"388",13,-0.54331145850332,7.2993933097921,1,1,0.1,1
"389",13,-0.432757235312524,6.49285291189226,1,1,0.1,1
"390",13,-0.57853527590687,8.90423861865498,2,1,0.1,1
"391",14,0.731391368777372,4.49442660363212,1,1,0.1,1
"392",14,0.804562945914001,8.277647028152,1,1,0.1,1
"393",14,0.637908873168298,9.38006876660032,1,1,0.1,1
"394",14,0.567009183015678,4.45157790399972,1,1,0.1,1
